Gene	Regulation_Early_vs_Later	logFC_Early_vs_Later	PValue_Early_vs_Later
3568	Upregulated	3.28120130035468	1.36672605901986e-12
1388	Upregulated	4.09439692476259	2.02293925154992e-12
5338	Upregulated	5.56352064190424	5.25140159856012e-12
6339	Upregulated	3.07508555526712	1.122899636956e-11
346	Upregulated	3.91899779778808	1.15054870961943e-11
3172	Upregulated	3.10857272687465	1.17542275541537e-11
1053	Upregulated	3.29541193765374	1.49207118012335e-11
1529	Upregulated	6.19478106424339	1.50414566879706e-11
3814	Upregulated	3.20378357522032	1.71744586495394e-11
3119	Upregulated	7.5391137266727	3.82844158254174e-11
