Gene	Regulation_Early_vs_Thin	logFC_Early_vs_Thin	PValue_Early_vs_Thin	Regulation_Thin_vs_Mature	logFC_Thin_vs_Mature	PValue_Thin_vs_Mature	Regulation_Early_vs_Mature	logFC_Early_vs_Mature	PValue_Early_vs_Mature
2740	Downregulated	-5.26937692564023	1.71121772272771e-12	Upregulated	4.79750067496023	3.16823382760773e-12	Upregulated	4.13608083059325	4.28229489893343e-11
2347	Downregulated	-4.94840559577181	2.6655798874838e-12	Downregulated	-5.18708357797765	6.54571907719913e-12	Upregulated	4.81274826356364	4.51302828344398e-11
3568	Upregulated	4.09219950332731	3.42867423376337e-12	Upregulated	4.18019618632658	1.14279289226594e-11	Upregulated	3.50988787343161	5.8837887398005e-11
3172	Upregulated	4.34165090484398	9.59741157604474e-12	Downregulated	-8.12856759250399	2.34122675280048e-11	Downregulated	-12.5475227931329	8.09783532711429e-11
5338	Upregulated	7.92245856704097	1.04922331121485e-11	Upregulated	3.82409024236448	7.69263205478788e-11	Upregulated	3.76447790246423	8.47671964691217e-11
5339	Upregulated	5.94118553320508	1.47465092860283e-11	Upregulated	4.87648687390622	8.20600899473737e-11	Downregulated	-14.0144855893466	1.35853948902907e-10
1530	Upregulated	7.91134381628256	3.30305155378231e-11	Downregulated	-4.80008599329069	1.15174830543423e-10	Upregulated	3.11778738268872	4.33156832232022e-10
2195	Downregulated	-4.70716151885056	3.32453019661322e-11	Upregulated	3.75547274256689	1.73412581219412e-10	Upregulated	2.47020309738204	4.54900719023177e-10
3123	Downregulated	-5.32304776540848	4.00966099043029e-11	Upregulated	3.34063225539635	2.09784603810477e-10	Downregulated	-3.52684470195596	6.65728068235301e-10
1388	Upregulated	4.05271301893193	4.89061649375768e-11	Upregulated	3.26004690562198	3.44006357358941e-10	Downregulated	-9.73873964887612	6.66162444834868e-10
