Geneid	Chr	Start	End	Strand	Length	logFC	logCPM	F	PValue	FDR
2347	YGR087C	NC_001139.9	651290	652981	-	1692	-4.87295313536602	8.64688760268086	1338.83068582749	9.81373253109825e-14	4.00774540983828e-10
2740	YHR094C	NC_001140.6	290913	292625	-	1713	-4.72478655598341	9.00286434603808	1256.9681904198	1.43006080636513e-13	4.00774540983828e-10
2348	YGR088W	NC_001139.9	654634	656322	+	1689	-4.61699916144153	9.15759096469733	695.798472791302	4.85321593126873e-12	8.3035439887e-09
5800	YOR273C	NC_001147.6	834452	836431	-	1980	-3.62317945179218	8.45724711571003	672.782204600757	5.92581194554862e-12	8.3035439887e-09
6117	YPL095C	NC_001148.4	368071	369441	-	1371	-3.71110100648874	8.42836888899777	629.476041577769	8.79288421407254e-12	8.79122712578172e-09
3837	YKR097W	NC_001143.9	631152	632801	+	1650	4.65328391894151	8.2471581791258	597.792406491418	1.19729911830639e-11	8.79122712578172e-09
2479	YGR201C	NC_001139.9	902520	903197	-	678	-3.37636003619266	7.07514140549019	593.553139927401	1.24853101157877e-11	8.79122712578172e-09
3123	YJL212C	NC_001142.9	33850	36249	-	2400	-4.15009333748334	7.71152152273667	593.6473637701	1.25476925970123e-11	8.79122712578172e-09
1530	YEL069C	NC_001137.3	21537	23231	-	1695	8.01995570439328	7.86113684272113	500.072528304652	1.92303322234064e-11	1.19762235680215e-08
5339	YNR072W	NC_001146.8	772657	774351	+	1695	5.37063576324788	9.21109830897277	526.695460763274	2.52953125592244e-11	1.41780226894453e-08
2195	YGL055W	NC_001139.9	398628	400160	+	1533	-3.38548536093497	10.8789813811406	497.168870132488	3.54738618820787e-11	1.80755450771864e-08
5576	YOR047C	NC_001147.6	416347	417681	-	1335	-3.23350866419474	6.07629614533652	476.733298292496	4.59667136654376e-11	2.14702858412315e-08
5116	YNL141W	NC_001146.8	359596	360639	+	1044	-2.86065538430423	7.43856035167108	459.409565963727	5.65803101632885e-11	2.18878281129694e-08
5338	YNR071C	NC_001146.8	770440	771468	-	1029	6.32016720865721	9.83354740711514	456.784372566944	5.89548660161139e-11	2.18878281129694e-08
5385	YOL128C	NC_001147.6	78352	79479	-	1128	-3.40397121760731	7.39884826412163	451.071112340889	6.3078794326408e-11	2.18878281129694e-08
3172	YJL158C	NC_001142.9	122265	122948	-	684	3.40390363039132	7.59253977175013	448.162433083311	6.55323586261197e-11	2.18878281129694e-08
3915	YLR004C	NC_001144.5	157934	159505	-	1572	-3.0042744746757	6.25412061726702	447.447227087923	6.6385919343529e-11	2.18878281129694e-08
3568	YKL164C	NC_001143.9	141794	142819	-	1026	2.85709795463629	8.11341713040803	440.267576849622	7.26626228369689e-11	2.26263333889562e-08
164	YBL049W	NC_001134.8	126828	127244	+	417	-2.81627030057551	8.01692991864913	414.539814528767	1.03505297663246e-10	3.05340628106574e-08
1058	YDR089W	NC_001136.10	622112	624721	+	2610	-2.33864383603508	6.73716873235766	404.301686836418	1.1999917488006e-10	3.10408024958092e-08
4730	YMR145C	NC_001145.3	554793	556475	-	1683	2.94494493348758	8.47053546406298	404.076200748494	1.20241473315015e-10	3.10408024958092e-08
5775	YOR247W	NC_001147.6	797676	798308	+	633	3.37238386722561	7.53950361436602	403.259975389301	1.21837226566958e-10	3.10408024958092e-08
3283	YJL052W	NC_001142.9	338271	339269	+	999	-4.03599990032023	13.2349954076412	389.15742203136	1.49885182134262e-10	3.65263672114146e-08
759	YDL210W	NC_001136.10	84270	85985	+	1716	-3.23906071309981	6.59538522168934	358.138058740666	2.44850141573283e-10	5.71827101465937e-08
4922	YMR319C	NC_001145.3	912880	914538	-	1659	-3.31638761827887	6.9903882122021	350.871368301044	2.75651230068933e-10	6.18010057814548e-08
5387	YOL126C	NC_001147.6	81787	82920	-	1134	-2.57152645155709	7.41876624858655	343.149214802996	3.13457839343032e-10	6.75742765199113e-08
5224	YNL036W	NC_001146.8	559814	560479	+	666	3.43526441340375	8.85447690404999	332.787268588229	3.74625243947794e-10	7.7769425641755e-08
1931	YFR015C	NC_001138.5	174265	176391	-	2127	3.36006935623426	7.4491435377753	302.351167336131	6.56113639344893e-10	1.31339891018862e-07
3008	YIL053W	NC_001141.2	255115	255867	+	753	-2.78558557308855	6.40211308627851	295.181630432768	7.5541404669623e-10	1.43418299151424e-07
2311	YGR049W	NC_001139.9	591314	591877	+	564	-2.42281170297664	5.43185376308492	292.614170078877	7.99524061550456e-10	1.43418299151424e-07
5801	YOR274W	NC_001147.6	837674	838960	+	1287	-2.0986059182067	6.4548926123171	291.11697356563	8.17643592470904e-10	1.43418299151424e-07
2393	YGR125W	NC_001139.9	742325	745435	+	3111	-1.97434306625198	9.5557985280546	290.961705512047	8.1880206473605e-10	1.43418299151424e-07
2826	YHR174W	NC_001140.6	451327	452640	+	1314	-2.41084312709343	8.7364687879	287.888515212836	8.71164584722675e-10	1.45202156370114e-07
1529	YEL070W	NC_001137.3	19589	21097	+	1509	7.01348340430161	7.20855458636993	233.401086028654	8.80798093948952e-10	1.45202156370114e-07
620	YCR012W	NC_001135.5	137746	138996	+	1251	-3.17655523886093	12.1028292195441	284.744345303938	9.2824088174388e-10	1.4865114691927e-07
