Geneid	Chr	Start	End	Strand	Length	logFC.StageLate	logFC.StageMiddle	logCPM	F	PValue	FDR
4833	YNCM0033C	NC_001145.3	747892	747963	-	72	-16.0241279752885	-19.8326061329918	2.65209360162115	2031.75857653036	5.41747170442402e-19	2.59223735026723e-16
582	YCL026C-A	NC_001135.5	74704	75285	-	582	-18.6474177740762	-15.9513782342519	2.93936292339403	1557.76746269117	2.11873067550073e-18	2.59223735026723e-16
3496	YJR150C	NC_001142.9	708811	709707	-	897	-19.4615604582869	-21.7694830039951	2.31654915380383	1623.72306296069	2.60202860441441e-18	2.59223735026723e-16
4255	YLR307C-A	NC_001144.5	746848	747111	-	264	-14.7940348462275	-17.441717927244	3.8260881913689	2835.59338151484	4.18752017115254e-18	2.59223735026723e-16
965	YDR006C	NC_001136.10	458542	461247	-	2706	-13.1469344068396	-12.8829749341498	7.40012084644877	4556.64198021369	4.27749800408446e-18	2.59223735026723e-16
2621	YHL007C	NC_001140.6	95118	97937	-	2820	-13.6369072797565	-13.3497756887091	6.73155389587177	4498.41662490822	4.62645641668604e-18	2.59223735026723e-16
1177	YDR208W	NC_001136.10	868224	870563	+	2340	-12.475210577903	-12.8810768792016	7.44376592917897	4417.83749323199	5.15262329424116e-18	2.59223735026723e-16
1209	YDR237W	NC_001136.10	936615	937493	+	879	-13.1536636912621	-13.4328229934472	6.40642537538218	4417.57577387816	5.16328122107463e-18	2.59223735026723e-16
1058	YDR089W	NC_001136.10	622112	624721	+	2610	-14.3232766588151	-14.5944865457932	6.73716873235766	4411.06256261977	5.21635374670994e-18	2.59223735026723e-16
4631	YMR053C	NC_001145.3	380346	382898	-	2553	-14.3783054700255	-14.7506289954547	5.87735504464143	4400.62876860122	5.29620859420968e-18	2.59223735026723e-16
2272	YGR020C	NC_001139.9	526973	527329	-	357	-13.0369078724245	-13.1837654550198	6.75684143848239	4386.03234123435	5.38671659110577e-18	2.59223735026723e-16
1029	YDR062W	NC_001136.10	576474	578159	+	1686	-13.6259493911477	-13.0810178282253	6.64380869497589	4372.26266196577	5.49138953464856e-18	2.59223735026723e-16
5520	YOL004W	NC_001147.6	316938	321548	+	4611	-12.8249213479773	-12.7899945534557	7.25995300518594	4368.74195241246	5.51227135721329e-18	2.59223735026723e-16
