# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-a" "/scratch/lukens/Assignment_2_Genome/genomic.gtf" "-o" "featureGenecount.txt" "SRR10551657.fastqAligned.out.sorted.bam" "SRR10551658.fastqAligned.out.sorted.bam" "SRR10551659.fastqAligned.out.sorted.bam" "SRR10551660.fastqAligned.out.sorted.bam" "SRR10551661.fastqAligned.out.sorted.bam" "SRR10551662.fastqAligned.out.sorted.bam" "SRR10551663.fastqAligned.out.sorted.bam" "SRR10551664.fastqAligned.out.sorted.bam" "SRR10551665.fastqAligned.out.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR10551657.fastqAligned.out.sorted.bam	SRR10551658.fastqAligned.out.sorted.bam	SRR10551659.fastqAligned.out.sorted.bam	SRR10551660.fastqAligned.out.sorted.bam	SRR10551661.fastqAligned.out.sorted.bam	SRR10551662.fastqAligned.out.sorted.bam	SRR10551663.fastqAligned.out.sorted.bam	SRR10551664.fastqAligned.out.sorted.bam	SRR10551665.fastqAligned.out.sorted.bam
YAL068C	NC_001133.9	1807	2169	-	363	1	2	5	1	0	0	0	2	0
YAL067W-A	NC_001133.9	2480	2707	+	228	0	0	0	1	1	0	0	2	0
YAL067C	NC_001133.9	7235	9016	-	1782	73	62	49	211	168	107	67	54	55
YAL065C	NC_001133.9	11565	11951	-	387	8	2	8	11	7	6	3	7	5
YAL064W-B	NC_001133.9	12046	12426	+	381	0	0	0	2	0	0	0	0	0
YAL064C-A	NC_001133.9	13363	13743	-	381	0	0	0	0	0	0	0	0	0
YAL064W	NC_001133.9	21566	21850	+	285	0	0	0	0	0	0	0	0	0
YAL063C-A	NC_001133.9	22395	22685	-	291	0	0	0	0	0	0	0	0	0
YAL063C	NC_001133.9	24000	27968	-	3969	13	6	7	21	10	15	27	26	29
YAL062W	NC_001133.9	31567	32940	+	1374	109	70	87	118	197	111	70	89	84
YAL061W	NC_001133.9	33448	34701	+	1254	183	131	151	149	155	87	369	439	409
YAL060W	NC_001133.9	35155	36303	+	1149	367	325	458	134	206	77	631	752	685
YAL059W	NC_001133.9	36509	37147	+	639	21	25	14	69	43	35	36	47	44
YAL058W	NC_001133.9	37464	38972	+	1509	15	7	13	29	30	38	41	36	41
YAL056W	NC_001133.9	39259	41901	+	2643	141	65	112	364	219	193	421	503	497
YAL055W	NC_001133.9	42177	42719	+	543	74	59	65	61	130	16	39	41	62
YAL054C	NC_001133.9	42881	45022	-	2142	144	118	129	157	151	139	146	133	139
YAL053W	NC_001133.9	45899	48250	+	2352	124	91	78	325	211	238	278	291	304
YAL051W	NC_001133.9	48564	51707	+	3144	89	70	84	149	120	78	182	201	175
YAL049C	NC_001133.9	51855	52595	-	741	281	214	239	494	362	269	241	330	313
YAL048C	NC_001133.9	52801	54789	-	1989	17	13	19	63	33	30	67	73	62
YAL047C	NC_001133.9	54989	56857	-	1869	28	23	23	45	49	6	24	26	39
YAL046C	NC_001133.9	57029	57385	-	357	29	17	26	73	42	50	23	25	22
YAL044W-A	NC_001133.9	57518	57850	+	333	78	42	51	90	83	32	45	92	65
YAL044C	NC_001133.9	57950	58462	-	513	235	145	189	191	185	97	104	133	111
YAL043C	NC_001133.9	58695	61052	-	2358	37	23	13	70	41	49	49	45	42
YAL042W	NC_001133.9	61316	62563	+	1248	62	43	50	94	103	70	109	115	98
